Sampling Date,Site,Strata,PC Vegetation,PC Soil,PC Water,Shoot Count Juncus,Shoot Count S. alterniflora,Shoot Count S. patens,Other,Solidago Sempervirens,Pluchea odorata,rosemary things,Bolboschoenus robustus,Typha latifolia,Unid1
9/16,2007,Juncus,75,0,25,78,0,0,,,,,,,
9/16,2007,NC,20,60,20,0,0,0,12 fluffy plant camryn,,,,,,
9/16,2015,Juncus,33,0,66,58,0,0,,,,,,,
9/16,2015,NC,10,0,90,0,6,0,,,,,,,
9/16,2013,NA,75,25,0,32,0,0,"1 Solidago sempervirens, 1 other",1,,,,,1
9/23,2015,Juncus,70,0,30,29,0,0,12 Pluchea odorata,,12,,,,
9/23,2015,NC,90,0,10,0,5,0,24 rosemary things,,,24,,,
9/23,2007,Juncus,75,15,10,36,0,0,1 pluchea odorata,,1,,,,
9/23,2007,NC,95,5,0,0,2,87,,,,,,,
9/23,2013,NA,10,0,90,0,5,0,,,,,,,
9/23,2013,NA,30,0,70,0,1,0,"1 fluffy thing, 1 Bolboschoenus robustus",,,,1,,
10/1,2013,NA,40,0,60,0,5,0,12 Typha latifolia,,,,,12,
10/1,2013,NA,50,0,50,0,6,0,4 Typha latifolia,,,,,4,
10/1,2015,Juncus,80,0,20,52,0,0,2 Pluchea odorata,,2,,,,
10/1,2015,NC,60,40,0,3,17,0,,,,,,,
10/1,2007,Juncus,40,0,60,29,0,0,,,,,,,
10/1,2007,NC,90,0,10,0,9,5,,,,,,,
10/7,2007,Juncus,55,45,0,27,0,14,,,,,,,
10/7,2007,NC,60,30,30,0,7,0,,,,,,,
10/7,2013,NA,30,0,70,0,3,0,1 Typha latifolia,,,,,1,
10/7,2013,NA,20,0,80,0,0,0,6 Bolboschoenus robustus,,,,6,,
10/7,2015,NC,50,0,40,0,2,0,"5 Pluchea odorata, 1 rosemary",,5,1,,,
10/7,2015,Juncus,85,0,15,32,0,0,"1 Pluchea odorata, 1 unid sprout",,1,,,,1
10/13,2013,NA,20,0,80,0,0,0,2 Typha latifolia,,,,,2,
10/13,2013,NA,75,0,25,0,0,0,4 Typha latifolia,,,,,4,
10/13,2015,Juncus,60,40,0,17,0,0,,,,,,,
10/13,2015,NC,70,0,30,2,8,0,,,,,,,
10/13,2007,Juncus,90,5,5,1,25,50,,,,,,,
10/13,2007,NC,85,0,15,4,2,40,1 Pluchea odorata,,1,,,,